unmasked	masked0	masked4	masked8	masked-4	masked-8	repair	snr	AX
napkin.wav	napkin_masked0.wav	napkin_masked4.wav	napkin_masked8.wav	napkin_masked-4.wav	napkin_masked-8.wav	epenthesis	0	same
picnic.wav	picnic_masked0.wav	picnic_masked4.wav	picnic_masked8.wav	picnic_masked-4.wav	picnic_masked-8.wav	epenthesis	0	same
aspire.wav	aspire_masked0.wav	aspire_masked4.wav	aspire_masked8.wav	aspire_masked-4.wav	aspire_masked-8.wav	epenthesis	0	same
after.wav	after_masked0.wav	after_masked4.wav	after_masked8.wav	after_masked-4.wav	after_masked-8.wav	epenthesis	0	same
